NUTS3;CODE
'HR022';'33507'
'HR022';'33514'
'HR022';'33516'
'HR022';'33523'
'HR022';'33518'
'HR022';'33517'
'HR022';'33406'
'HR022';'33407'
'HR022';'33515'
'HR022';'33000'
'HR022';'33521'
'HR022';'33522'
'HR022';'33410'
'HR022';'33412'
'HR022';'33533'
'HR022';'33520'
'HR022';'33411'
'HR022';'33525'
'HR022';'33404'
'HR022';'33405'
'HR022';'33513'
'HR028';'44431'
'HR028';'44432'
'HR028';'44435'
'HR028';'44437'
'HR028';'44440'
'HR028';'44441'
'HR028';'44443'
'HR028';'44320'
'HR028';'44321'
'HR028';'44323'
'HR028';'44330'
'HR028';'44000'
'HR028';'44201'
'HR028';'44271'
'HR028';'44272'
'HR028';'44322'
'HR028';'44325'
'HR028';'44450'
'HR028';'44400'
'HR028';'44401'
'HR028';'44402'
'HR028';'44403'
'HR028';'44404'
'HR028';'44405'
'HR028';'44406'
'HR028';'44412'
'HR028';'44425'
'HR028';'44324'
'HR028';'44317'
'HR028';'44318'
'HR028';'44415'
'HR028';'44204'
'HR028';'44205'
'HR028';'44231'
'HR028';'44250'
'HR028';'44251'
'HR028';'44253'
'HR028';'44273'
'HR028';'44210'
'HR028';'44211'
'HR028';'44212'
'HR028';'44221'
'HR028';'44222'
'HR028';'44202'
'HR028';'44203'
'HR028';'44214'
'HR028';'44316'
'HR028';'44434'
'HR028';'44410'
'HR028';'44414'
'HR028';'44430'
'HR028';'44433'
'HR037';'20000'
'HR037';'20221'
'HR037';'20222'
'HR037';'20223'
'HR037';'20233'
'HR037';'20234'
'HR037';'20235'
'HR037';'20236'
'HR037';'20341'
'HR037';'20290'
'HR037';'20350'
'HR037';'20352'
'HR037';'20224'
'HR037';'20225'
'HR037';'20210'
'HR037';'20213'
'HR037';'20215'
'HR037';'20216'
'HR037';'20217'
'HR037';'20218'
'HR037';'20260'
'HR037';'20264'
'HR037';'20273'
'HR037';'20274'
'HR037';'20275'
'HR037';'20355'
'HR037';'20278'
'HR037';'20226'
'HR037';'20230'
'HR037';'20247'
'HR037';'20248'
'HR037';'20242'
'HR037';'20243'
'HR037';'20244'
'HR037';'20245'
'HR037';'20250'
'HR037';'20267'
'HR037';'20269'
'HR037';'20270'
'HR037';'20356'
'HR037';'20357'
'HR037';'20272'
'HR037';'20340'
'HR037';'20342'
'HR037';'20343'
'HR037';'20344'
'HR037';'20345'
'HR037';'20205'
'HR037';'20231'
'HR037';'20232'
'HR037';'20246'
'HR037';'20263'
'HR037';'20240'
'HR037';'20207'
'HR037';'20353'
'HR065';'10291'
'HR065';'10292'
'HR065';'10342'
'HR065';'10370'
'HR065';'10314'
'HR065';'10315'
'HR065';'10345'
'HR065';'10312'
'HR065';'10310'
'HR065';'10311'
'HR065';'10313'
'HR065';'10316'
'HR065';'10297'
'HR065';'10450'
'HR065';'10430'
'HR065';'10432'
'HR065';'10435'
'HR065';'10436'
'HR065';'10453'
'HR065';'10340'
'HR065';'10341'
'HR065';'10346'
'HR065';'10347'
'HR065';'10380'
'HR065';'10382'
'HR065';'10383'
'HR065';'10431'
'HR065';'10434'
'HR065';'10437'
'HR065';'10294'
'HR065';'10451'
'HR065';'10372'
'HR065';'10373'
'HR065';'10408'
'HR065';'10410'
'HR065';'10412'
'HR065';'10415'
'HR065';'10417'
'HR065';'10419'
'HR065';'10290'
'HR065';'10295'
'HR065';'49290'
'HR065';'10414'
'HR065';'10413'
'HR065';'10418'
'HR065';'10298'
'HR065';'10296'
'HR065';'49214'
'HR065';'10293'
'HR065';'10381'
'HR065';'10454'
'HR065';'10299'
'HR065';'10411'
'HR065';'10455'
'HR065';'10457'
'HR021';'43531'
'HR021';'43532'
'HR021';'10344'
'HR021';'43211'
'HR021';'43240'
'HR021';'43245'
'HR021';'43500'
'HR021';'43506'
'HR021';'43232'
'HR021';'43233'
'HR021';'43000'
'HR021';'43251'
'HR021';'43252'
'HR021';'43272'
'HR021';'43290'
'HR021';'43293'
'HR021';'43504'
'HR021';'43284'
'HR021';'43505'
'HR021';'43280'
'HR021';'43282'
'HR021';'43283'
'HR021';'43507'
'HR021';'43231'
'HR021';'43247'
'HR021';'43541'
'HR021';'43271'
'HR021';'43270'
'HR021';'43226'
'HR021';'43212'
'HR021';'43246'
'HR021';'43274'
'HR021';'43227'
'HR021';'43273'
'HR021';'10343'
'HR021';'43285'
'HR021';'43202'
'HR021';'43203'
'HR023';'34320'
'HR023';'34322'
'HR023';'34350'
'HR023';'34308'
'HR023';'34312'
'HR023';'34335'
'HR023';'34340'
'HR023';'34343'
'HR023';'34543'
'HR023';'34551'
'HR023';'34334'
'HR023';'34000'
'HR023';'34550'
'HR023';'34552'
'HR023';'34553'
'HR023';'34330'
'HR023';'35403'
'HR023';'34310'
'HR023';'34311'
'HR023';'34315'
'HR024';'35424'
'HR024';'35425'
'HR024';'35214'
'HR024';'35215'
'HR024';'35254'
'HR024';'35253'
'HR024';'35404'
'HR024';'35400'
'HR024';'35410'
'HR024';'35208'
'HR024';'35222'
'HR024';'35211'
'HR024';'35212'
'HR024';'35216'
'HR024';'35213'
'HR024';'35201'
'HR024';'35414'
'HR024';'35420'
'HR024';'35250'
'HR024';'35255'
'HR024';'35257'
'HR024';'35252'
'HR024';'35423'
'HR024';'35221'
'HR024';'35000'
'HR024';'35105'
'HR024';'35106'
'HR024';'35107'
'HR024';'35220'
'HR024';'35422'
'HR024';'35435'
'HR024';'35210'
'HR024';'35209'
'HR024';'35428'
'HR024';'35432'
'HR024';'35207'
'HR024';'35224'
'HR024';'35429'
'HR024';'35430'
'HR025';'31325'
'HR025';'31431'
'HR025';'31326'
'HR025';'31204'
'HR025';'31205'
'HR025';'31206'
'HR025';'31226'
'HR025';'31300'
'HR025';'31301'
'HR025';'31543'
'HR025';'31552'
'HR025';'31551'
'HR025';'31554'
'HR025';'31304'
'HR025';'31305'
'HR025';'31306'
'HR025';'31418'
'HR025';'31423'
'HR025';'31327'
'HR025';'31328'
'HR025';'31222'
'HR025';'31223'
'HR025';'31511'
'HR025';'31400'
'HR025';'31415'
'HR025';'31417'
'HR025';'31216'
'HR025';'31416'
'HR025';'31530'
'HR025';'31225'
'HR025';'31500'
'HR025';'31512'
'HR025';'31224'
'HR025';'31422'
'HR025';'31401'
'HR025';'31432'
'HR025';'31433'
'HR025';'31410'
'HR025';'31302'
'HR025';'31303'
'HR025';'31000'
'HR025';'31207'
'HR025';'31220'
'HR025';'31221'
'HR025';'31421'
'HR025';'31402'
'HR025';'32284'
'HR025';'31411'
'HR025';'31227'
'HR025';'31550'
'HR025';'31321'
'HR025';'31322'
'HR025';'31208'
'HR025';'31531'
'HR025';'31540'
'HR025';'44010'
'HR025';'31214'
'HR025';'31215'
'HR025';'31403'
'HR025';'31513'
'HR025';'31542'
'HR025';'31404'
'HR025';'31424'
'HR025';'31323'
'HR025';'31324'
'HR025';'31307'
'HR025';'31308'
'HR025';'31309'
'HR025';'31315'
'HR025';'31553'
'HR025';'31555'
'HR026';'32276'
'HR026';'32229'
'HR026';'32275'
'HR026';'32257'
'HR026';'32258'
'HR026';'32261'
'HR026';'32262'
'HR026';'32263'
'HR026';'32272'
'HR026';'32271'
'HR026';'32221'
'HR026';'32244'
'HR026';'32245'
'HR026';'32246'
'HR026';'32233'
'HR026';'32237'
'HR026';'32273'
'HR026';'32260'
'HR026';'32234'
'HR026';'32235'
'HR026';'32236'
'HR026';'32281'
'HR026';'32282'
'HR026';'32280'
'HR026';'32241'
'HR026';'32242'
'HR026';'32243'
'HR026';'32238'
'HR026';'32214'
'HR026';'32248'
'HR026';'32249'
'HR026';'32254'
'HR026';'32255'
'HR026';'32256'
'HR026';'32222'
'HR026';'32224'
'HR026';'32225'
'HR026';'32100'
'HR026';'32247'
'HR026';'32211'
'HR026';'32212'
'HR026';'32213'
'HR026';'32239'
'HR026';'32274'
'HR026';'32270'
'HR026';'32252'
'HR026';'32253'
'HR026';'32251'
'HR026';'32283'
'HR026';'32000'
'HR026';'32010'
'HR026';'32227'
'HR026';'32232'
'HR027';'51329'
'HR027';'47252'
'HR027';'47253'
'HR027';'47261'
'HR027';'47206'
'HR027';'47251'
'HR027';'47300'
'HR027';'47307'
'HR027';'47313'
'HR027';'47314'
'HR027';'47271'
'HR027';'47273'
'HR027';'51326'
'HR027';'47000'
'HR027';'47201'
'HR027';'47203'
'HR027';'47204'
'HR027';'47205'
'HR027';'47211'
'HR027';'47212'
'HR027';'47213'
'HR027';'47241'
'HR027';'47250'
'HR027';'47286'
'HR027';'47262'
'HR027';'47302'
'HR027';'47303'
'HR027';'10456'
'HR027';'47280'
'HR027';'47281'
'HR027';'47283'
'HR027';'47284'
'HR027';'47285'
'HR027';'47220'
'HR027';'47221'
'HR027';'47245'
'HR027';'47246'
'HR027';'47240'
'HR027';'47243'
'HR027';'47244'
'HR027';'47304'
'HR027';'51325'
'HR027';'47305'
'HR027';'47306'
'HR027';'47272'
'HR027';'47263'
'HR027';'47264'
'HR027';'47282'
