NUTS3;CODE
'LT011';'10001'
'LT011';'10004'
'LT011';'10007'
'LT011';'01001'
'LT011';'01013'
'LT011';'01025'
'LT011';'01031'
'LT011';'01047'
'LT011';'01100'
'LT011';'01101'
'LT011';'01102'
'LT011';'01103'
'LT011';'01104'
'LT011';'01105'
'LT011';'01106'
'LT011';'01107'
'LT011';'01108'
'LT011';'01109'
'LT011';'01110'
'LT011';'01111'
'LT011';'01112'
'LT011';'01113'
'LT011';'01114'
'LT011';'01115'
'LT011';'01116'
'LT011';'01117'
'LT011';'01118'
'LT011';'01119'
'LT011';'01120'
'LT011';'01121'
'LT011';'01122'
'LT011';'01123'
'LT011';'01124'
'LT011';'01125'
'LT011';'01126'
'LT011';'01127'
'LT011';'01128'
'LT011';'01129'
'LT011';'01130'
'LT011';'01131'
'LT011';'01132'
'LT011';'01133'
'LT011';'01134'
'LT011';'01135'
'LT011';'01136'
'LT011';'01137'
'LT011';'01138'
'LT011';'01139'
'LT011';'01140'
'LT011';'01141'
'LT011';'01143'
'LT011';'01144'
'LT011';'01200'
'LT011';'01201'
'LT011';'01202'
'LT011';'01203'
'LT011';'01204'
'LT011';'01205'
'LT011';'01206'
'LT011';'01207'
'LT011';'01208'
'LT011';'01209'
'LT011';'01210'
'LT011';'01211'
'LT011';'01212'
'LT011';'01213'
'LT011';'01214'
'LT011';'01215'
'LT011';'01300'
'LT011';'01301'
'LT011';'01302'
'LT011';'01303'
'LT011';'01304'
'LT011';'01305'
'LT011';'01306'
'LT011';'01307'
'LT011';'01308'
'LT011';'01309'
'LT011';'01310'
'LT011';'01311'
'LT011';'01312'
'LT011';'01313'
'LT011';'01314'
'LT011';'01400'
'LT011';'01401'
'LT011';'01402'
'LT011';'02007'
'LT011';'02011'
'LT011';'02017'
'LT011';'02021'
'LT011';'02025'
'LT011';'02029'
'LT011';'02100'
'LT011';'02101'
'LT011';'02102'
'LT011';'02103'
'LT011';'02104'
'LT011';'02105'
'LT011';'02106'
'LT011';'02107'
'LT011';'02108'
'LT011';'02109'
'LT011';'02110'
'LT011';'02111'
'LT011';'02112'
'LT011';'02113'
'LT011';'02114'
'LT011';'02115'
'LT011';'02116'
'LT011';'02117'
'LT011';'02118'
'LT011';'02119'
'LT011';'02120'
'LT011';'02121'
'LT011';'02122'
'LT011';'02151'
'LT011';'02152'
'LT011';'02153'
'LT011';'02154'
'LT011';'02155'
'LT011';'02156'
'LT011';'02157'
'LT011';'02158'
'LT011';'02159'
'LT011';'02160'
'LT011';'02161'
'LT011';'02162'
'LT011';'02163'
'LT011';'02164'
'LT011';'02165'
'LT011';'02166'
'LT011';'02167'
'LT011';'02168'
'LT011';'02169'
'LT011';'02170'
'LT011';'02171'
'LT011';'02172'
'LT011';'02173'
'LT011';'02174'
'LT011';'02175'
'LT011';'02176'
'LT011';'02177'
'LT011';'02178'
'LT011';'02179'
'LT011';'02180'
'LT011';'02181'
'LT011';'02182'
'LT011';'02183'
'LT011';'02184'
'LT011';'02185'
'LT011';'02186'
'LT011';'02187'
'LT011';'02188'
'LT011';'02189'
'LT011';'02190'
'LT011';'02191'
'LT011';'02192'
'LT011';'02193'
'LT011';'02194'
'LT011';'02195'
'LT011';'02200'
'LT011';'02201'
'LT011';'02202'
'LT011';'02203'
'LT011';'02204'
'LT011';'02205'
'LT011';'02206'
'LT011';'02207'
'LT011';'02208'
'LT011';'02209'
'LT011';'02210'
'LT011';'02211'
'LT011';'02212'
'LT011';'02213'
'LT011';'02214'
'LT011';'02215'
'LT011';'02216'
'LT011';'02217'
'LT011';'02218'
'LT011';'02219'
'LT011';'02220'
'LT011';'02221'
'LT011';'02222'
'LT011';'02223'
'LT011';'02224'
'LT011';'02225'
'LT011';'02231'
'LT011';'02232'
'LT011';'02233'
'LT011';'02234'
'LT011';'02236'
'LT011';'02237'
'LT011';'02238'
'LT011';'02239'
'LT011';'02241'
'LT011';'02242'
'LT011';'02243'
'LT011';'02244'
'LT011';'02245'
'LT011';'02246'
'LT011';'02300'
'LT011';'02301'
'LT011';'02302'
'LT011';'02303'
'LT011';'02304'
'LT011';'02305'
'LT011';'02306'
'LT011';'02307'
'LT011';'02308'
'LT011';'02309'
'LT011';'03001'
'LT011';'03011'
'LT011';'03100'
'LT011';'03101'
'LT011';'03102'
'LT011';'03103'
'LT011';'03104'
'LT011';'03105'
'LT011';'03106'
'LT011';'03107'
'LT011';'03108'
'LT011';'03109'
'LT011';'03110'
'LT011';'03111'
'LT011';'03112'
'LT011';'03113'
'LT011';'03114'
'LT011';'03115'
'LT011';'03116'
'LT011';'03117'
'LT011';'03118'
'LT011';'03119'
'LT011';'03120'
'LT011';'03121'
'LT011';'03122'
'LT011';'03123'
'LT011';'03124'
'LT011';'03125'
'LT011';'03126'
'LT011';'03127'
'LT011';'03128'
'LT011';'03129'
'LT011';'03130'
'LT011';'03131'
'LT011';'03132'
'LT011';'03133'
'LT011';'03134'
'LT011';'03135'
'LT011';'03136'
'LT011';'03137'
'LT011';'03138'
'LT011';'03139'
'LT011';'03140'
'LT011';'03141'
'LT011';'03142'
'LT011';'03143'
'LT011';'03144'
'LT011';'03145'
'LT011';'03146'
'LT011';'03147'
'LT011';'03148'
'LT011';'03149'
'LT011';'03150'
'LT011';'03151'
'LT011';'03152'
'LT011';'03153'
'LT011';'03154'
'LT011';'03155'
'LT011';'03157'
'LT011';'03158'
'LT011';'03200'
'LT011';'03201'
'LT011';'03202'
'LT011';'03203'
'LT011';'03204'
'LT011';'03205'
'LT011';'03206'
'LT011';'03207'
'LT011';'03208'
'LT011';'03209'
'LT011';'03210'
'LT011';'03211'
'LT011';'03212'
'LT011';'03213'
'LT011';'03214'
'LT011';'03215'
'LT011';'03216'
'LT011';'03217'
'LT011';'03218'
'LT011';'03219'
'LT011';'03220'
'LT011';'03221'
'LT011';'03222'
'LT011';'03223'
'LT011';'03224'
'LT011';'03225'
'LT011';'03226'
'LT011';'03227'
'LT011';'03228'
'LT011';'03229'
'LT011';'03230'
'LT011';'03231'
'LT011';'03233'
'LT011';'04001'
'LT011';'04007'
'LT011';'04013'
