NUTS3;CODE
'SK010';'811 01'
'SK010';'811 02'
'SK010';'811 03'
'SK010';'811 04'
'SK010';'811 05'
'SK010';'811 06'
'SK010';'811 07'
'SK010';'811 08'
'SK010';'811 09'
'SK010';'821 01'
'SK010';'821 02'
'SK010';'821 03'
'SK010';'821 04'
'SK010';'821 05'
'SK010';'821 06'
'SK010';'821 07'
'SK010';'821 08'
'SK010';'821 09'
'SK010';'830 00'
'SK010';'830 05'
'SK010';'831 01'
'SK010';'831 02'
'SK010';'831 03'
'SK010';'831 04'
'SK010';'831 06'
'SK010';'831 07'
'SK010';'831 51'
'SK010';'831 52'
'SK010';'831 53'
'SK010';'831 54'
'SK010';'840 02'
'SK010';'840 08'
'SK010';'841 01'
'SK010';'841 02'
'SK010';'841 03'
'SK010';'841 04'
'SK010';'841 05'
'SK010';'841 06'
'SK010';'841 07'
'SK010';'841 08'
'SK010';'841 10'
'SK010';'851 01'
'SK010';'851 02'
'SK010';'851 03'
'SK010';'851 04'
'SK010';'851 05'
'SK010';'851 06'
'SK010';'851 07'
'SK010';'851 10'
'SK010';'900 01'
'SK010';'900 21'
'SK010';'900 23'
'SK010';'900 24'
'SK010';'900 25'
'SK010';'900 26'
'SK010';'900 27'
'SK010';'900 28'
'SK010';'900 29'
'SK010';'900 31'
'SK010';'900 33'
'SK010';'900 41'
'SK010';'900 42'
'SK010';'900 43'
'SK010';'900 44'
'SK010';'900 45'
'SK010';'900 46'
'SK010';'900 50'
'SK010';'900 51'
'SK010';'900 52'
'SK010';'900 54'
'SK010';'900 55'
'SK010';'900 61'
'SK010';'900 62'
'SK010';'900 63'
'SK010';'900 64'
'SK010';'900 66'
'SK010';'900 67'
'SK010';'900 68'
'SK010';'900 81'
'SK010';'900 82'
'SK010';'900 83'
'SK010';'900 84'
'SK010';'900 85'
'SK010';'900 86'
'SK010';'900 88'
'SK010';'900 89'
'SK010';'900 90'
'SK010';'900 91'
'SK010';'901 01'
'SK010';'902 01'
'SK010';'902 03'
'SK010';'903 01'
'SK010';'906 21'
'SK010';'906 36'
'SK010';'906 37'
'SK010';'906 38'
'SK010';'908 72'
'SK010';'908 74'
'SK010';'925 26'
'SK021';'905 01'
'SK021';'906 02'
'SK021';'906 03'
'SK021';'906 04'
'SK021';'906 05'
'SK021';'906 07'
'SK021';'906 11'
'SK021';'906 12'
'SK021';'906 31'
'SK021';'906 32'
'SK021';'906 33'
'SK021';'906 34'
'SK021';'906 35'
'SK021';'906 45'
'SK021';'908 01'
'SK021';'908 41'
'SK021';'908 42'
'SK021';'908 43'
