"NAME";"Commodity - Transaction";"Year";"Unit";"NETT_KAP";"Quantity Footnotes"
"Afghanistan";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"12";"1"
"Albania";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"14.996";""
"Algeria";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"448";""
"American Samoa";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"5.066";""
"Andorra";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"2";""
"Angola";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"13";""
"Anguilla";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"2";""
"Antigua and Barbuda";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"9";""
"Argentina";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"439";""
"Armenia";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"9.995";""
"Australia";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"4018";""
"Austria";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"1702";""
"Azerbaijan";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"35.2";""
"Bahrain";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"5";"1"
"Bangladesh";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"138";""
"Barbados";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"40";""
"Belarus";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"92";""
"Belgium";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"5";""
"Belize";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"3.3";""
"Benin";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"3";""
"Bhutan";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"1";""
"Bolivia (Plur. State of)";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"120.94";""
"Bonaire, St Eustatius, Saba";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"6.2";""
"Bosnia and Herzegovina";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"22";""
"Botswana";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"1.3";""
"Brazil";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"3191";""
"British Virgin Islands";"Electricity - net installed capacity of electric power plants public solar";"2019";"Kilowatts,  thousand";"0.3";"1"
