"NAME";"Commodity - Transaction";"Year";"Unit";"TOTAL_PROD";"Quantity Footnotes"
"Afghanistan";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"20.77";""
"Albania";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"22.196";""
"Algeria";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"678.05";"1"
"American Samoa";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"5.082";"1"
"Andorra";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"1.6";""
"Angola";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"18";""
"Anguilla";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"2";""
"Antigua and Barbuda";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"13";"1"
"Argentina";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"800";""
"Armenia";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"60.745";""
"Australia";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"14848";""
"Austria";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"1702.093";""
"Azerbaijan";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"44.2015";""
"Bahrain";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"10";"1"
"Bangladesh";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"369.869";""
"Barbados";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"52";""
"Belarus";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"181";""
"Belgium";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"4247";""
"Benin";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"7.521";""
"Bermuda";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"2";"1"
"Bhutan";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"0.662";""
"Bolivia (Plur. State of)";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"188";""
"Bonaire, St Eustatius, Saba";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"8.7";""
"Bosnia and Herzegovina";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"30";""
"Botswana";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"4.533";""
"Brazil";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"6655";""
"British Virgin Islands";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"0.32";"1"
"Brunei Darussalam";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"1.545";""
"Bulgaria";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"1442.468";""
"Burkina Faso";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"58.84";""
"Burundi";"Electricity - total solar production";"2019";"Kilowatt-hours, million";"7.93";""
