"NAME";"Year";"INSTALLIERT"
"Australia";"2019";"416563.532777418"
"Austria";"2019";"67962.4156165222"
"Belarus";"2019";"61022.4552604652"
"Belgium";"2019";"99745.7818297321"
"Bulgaria";"2019";"42222.5191984892"
"Canada";"2019";"582389.608113422"
"Croatia";"2019";"17778.8377398237"
"Cyprus";"2019";"7339.88216064505"
"Czechia";"2019";"100812.344554473"
"Denmark";"2019";"32540.4996844821"
"Estonia";"2019";"12380.3170249403"
"European Union";"2019";"3288082.1122577"
"Finland";"2019";"42546.0422948966"
"France";"2019";"332503.415861621"
"Germany";"2019";"711427.808697288"
"Greece";"2019";"65735.9231900982"
"Hungary";"2019";"49079.7124877549"
"Iceland";"2019";"3550.74733703233"
"Ireland";"2019";"37275.3185749905"
"Italy";"2019";"339772.170820425"
"Japan";"2019";"1105881.13611215"
"Latvia";"2019";"7648.18371582691"
"Liechtenstein";"2019";"148.400305736546"
"Lithuania";"2019";"13923.0950371299"
"Luxembourg";"2019";"9752.15994936606"
"Malta";"2019";"1669.14529679386"
"Monaco";"2019";"71.3419202640254"
"Netherlands";"2019";"153285.977878245"
"New Zealand";"2019";"37494.501955531"
"Norway";"2019";"42218.271542817"
"Poland";"2019";"319520.974607224"
"Portugal";"2019";"47629.0835767154"
"Romania";"2019";"74846.2697816821"
"Russian Federation";"2019";"1679449.32732954"
"Slovakia";"2019";"33773.4509063527"
"Slovenia";"2019";"14005.90061048"
"Spain";"2019";"251498.498982227"
"Sweden";"2019";"40936.8665746849"
"Switzerland";"2019";"36741.8645028051"
"Turkey";"2019";"399344.914409159"
"Ukraine";"2019";"222579.323069088"
"United Kingdom";"2019";"369729.950852467"
"United States of America";"2019";"5255816.20680457"

