"TIME","NUTS2","GEO_LABEL","UNIT","LANDCOVER","STADT_LEVEL","Flag and Footnotes"
"2018","EU_V","European Union (aggregate changing according to the context)","Percentage","Built-up area","1.4",""
"2018","EU27_2020","European Union - 27 countries (from 2020)","Percentage","Built-up area","1.3",""
"2018","EU28","European Union - 28 countries (2013-2020)","Percentage","Built-up area","1.3",""
"2018","EU27_2007","European Union - 27 countries (2007-2013)","Percentage","Built-up area","1.3",""
"2018","BE","Belgium","Percentage","Built-up area","4.9",""
"2018","BE1","R�gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Built-up area","29.5","u"
"2018","BE10","R�gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Built-up area","29.5","u"
"2018","BE2","Vlaams Gewest","Percentage","Built-up area","7.5",""
"2018","BE21","Prov. Antwerpen","Percentage","Built-up area","10",""
"2018","BE22","Prov. Limburg (BE)","Percentage","Built-up area","3.9",""
"2018","BE23","Prov. Oost-Vlaanderen","Percentage","Built-up area","6.1",""
"2018","BE24","Prov. Vlaams-Brabant","Percentage","Built-up area","6.7",""
"2018","BE25","Prov. West-Vlaanderen","Percentage","Built-up area","9.7",""
"2018","BE3","R�gion wallonne","Percentage","Built-up area","2.6",""
"2018","BE31","Prov. Brabant wallon","Percentage","Built-up area","4.9",""
"2018","BE32","Prov. Hainaut","Percentage","Built-up area","4.9",""
"2018","BE33","Prov. Li�ge","Percentage","Built-up area","2.6",""
"2018","BE34","Prov. Luxembourg (BE)","Percentage","Built-up area","1",""
"2018","BE35","Prov. Namur","Percentage","Built-up area","1.5",""
"2018","BG","Bulgaria","Percentage","Built-up area","0.8",""
"2018","BG3","Severna i yugoiztochna Bulgaria","Percentage","Built-up area","0.8",""
"2018","BG31","Severozapaden","Percentage","Built-up area","0.9",""
"2018","BG32","Severen tsentralen","Percentage","Built-up area","0.9",""
"2018","BG33","Severoiztochen","Percentage","Built-up area","0.9",""
"2018","BG34","Yugoiztochen","Percentage","Built-up area","0.6",""
"2018","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Percentage","Built-up area","0.7",""
"2018","BG41","Yugozapaden","Percentage","Built-up area","0.8",""
"2018","BG42","Yuzhen tsentralen","Percentage","Built-up area","0.5",""
"2018","CZ","Czechia","Percentage","Built-up area","1.9",""
"2018","CZ0","Cesko","Percentage","Built-up area","1.9",""
"2018","CZ01","Praha","Percentage","Built-up area","5","u"
"2018","CZ02","Stredn� Cechy","Percentage","Built-up area","1.7",""
"2018","CZ03","Jihoz�pad","Percentage","Built-up area","1.7",""
"2018","CZ04","Severoz�pad","Percentage","Built-up area","0.8",""
"2018","CZ05","Severov�chod","Percentage","Built-up area","1.5",""
"2018","CZ06","Jihov�chod","Percentage","Built-up area","2.3",""
"2018","CZ07","Stredn� Morava","Percentage","Built-up area","3.6",""
"2018","CZ08","Moravskoslezsko","Percentage","Built-up area","1.5",""
"2018","DK","Denmark","Percentage","Built-up area","2.1",""
"2018","DK0","Danmark","Percentage","Built-up area","2.1",""
"2018","DK01","Hovedstaden","Percentage","Built-up area","5.9",""
"2018","DK02","Sj�lland","Percentage","Built-up area","1.8",""
"2018","DK03","Syddanmark","Percentage","Built-up area","2.3",""
"2018","DK04","Midtjylland","Percentage","Built-up area","1.7",""
"2018","DK05","Nordjylland","Percentage","Built-up area","1.7",""
"2018","DE","Germany (until 1990 former territory of the FRG)","Percentage","Built-up area","2.5",""
"2018","DE1","Baden-W�rttemberg","Percentage","Built-up area","2.9",""
"2018","DE11","Stuttgart","Percentage","Built-up area","3.9",""
"2018","DE12","Karlsruhe","Percentage","Built-up area","2.8",""
"2018","DE13","Freiburg","Percentage","Built-up area","1.9",""
"2018","DE14","T�bingen","Percentage","Built-up area","2.8",""
"2018","DE2","Bayern","Percentage","Built-up area","2.1",""
"2018","DE21","Oberbayern","Percentage","Built-up area","2.6",""
"2018","DE22","Niederbayern","Percentage","Built-up area","1.7",""
"2018","DE23","Oberpfalz","Percentage","Built-up area","3.2",""
"2018","DE24","Oberfranken","Percentage","Built-up area","1.7",""
"2018","DE25","Mittelfranken","Percentage","Built-up area","1.8",""
"2018","DE26","Unterfranken","Percentage","Built-up area","1",""
"2018","DE27","Schwaben","Percentage","Built-up area","1.7",""
"2018","DE3","Berlin","Percentage","Built-up area","12.2","u"
"2018","DE30","Berlin","Percentage","Built-up area","12.2","u"
"2018","DE4","Brandenburg","Percentage","Built-up area","1.6",""
"2018","DE40","Brandenburg","Percentage","Built-up area","1.6",""
"2018","DE5","Bremen","Percentage","Built-up area","11",""
"2018","DE50","Bremen","Percentage","Built-up area","11",""
"2018","DE6","Hamburg","Percentage","Built-up area","10.7",""
"2018","DE60","Hamburg","Percentage","Built-up area","10.7",""
"2018","DE7","Hessen","Percentage","Built-up area","2.9",""
"2018","DE71","Darmstadt","Percentage","Built-up area","4.3",""
"2018","DE72","Gie�en","Percentage","Built-up area","1.9","u"
"2018","DE73","Kassel","Percentage","Built-up area","2.2",""
"2018","DE8","Mecklenburg-Vorpommern","Percentage","Built-up area","1.5","u"
"2018","DE80","Mecklenburg-Vorpommern","Percentage","Built-up area","1.5","u"
"2018","DE9","Niedersachsen","Percentage","Built-up area","2.2",""
"2018","DE91","Braunschweig","Percentage","Built-up area","1.8",""
"2018","DE92","Hannover","Percentage","Built-up area","1.2",""
"2018","DE93","L�neburg","Percentage","Built-up area","1.5",""
"2018","DE94","Weser-Ems","Percentage","Built-up area","3.7",""
"2018","DEA","Nordrhein-Westfalen","Percentage","Built-up area","4.8",""
"2018","DEA1","D�sseldorf","Percentage","Built-up area","8.7",""
"2018","DEA2","K�ln","Percentage","Built-up area","6.1",""
"2018","DEA3","M�nster","Percentage","Built-up area","4",""
"2018","DEA4","Detmold","Percentage","Built-up area","2.7",""
"2018","DEA5","Arnsberg","Percentage","Built-up area","3.6",""
"2018","DEB","Rheinland-Pfalz","Percentage","Built-up area","2.7",""
"2018","DEB1","Koblenz","Percentage","Built-up area","1.9",""
"2018","DEB2","Trier","Percentage","Built-up area","1.3","u"
"2018","DEB3","Rheinhessen-Pfalz","Percentage","Built-up area","4.6",""
"2018","DEC","Saarland","Percentage","Built-up area","2.8",""
"2018","DEC0","Saarland","Percentage","Built-up area","2.8",""
"2018","DED","Sachsen","Percentage","Built-up area","2.2",""
"2018","DED2","Dresden","Percentage","Built-up area","2.1",""
"2018","DED4","Chemnitz","Percentage","Built-up area","2.4",""
"2018","DED5","Leipzig","Percentage","Built-up area","2",""
"2018","DEE","Sachsen-Anhalt","Percentage","Built-up area","1.6",""
"2018","DEE0","Sachsen-Anhalt","Percentage","Built-up area","1.6",""
"2018","DEF","Schleswig-Holstein","Percentage","Built-up area","1.7",""
"2018","DEF0","Schleswig-Holstein","Percentage","Built-up area","1.7",""
"2018","DEG","Th�ringen","Percentage","Built-up area","2.2",""
