DATAFLOW,LAST UPDATE,freq,unit,LAND,TIME_PERIOD,EMISSIONEN,OBS_FLAG
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2000,100.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2001,102.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2002,103.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2003,107.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2004,105.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2005,102.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2006,97.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2007,94.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2008,91.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2009,91.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2010,90.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2011,89.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2012,86.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2013,85.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2014,82.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2015,83.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2016,84.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2017,85.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2018,84.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2019,83.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,AT,2020,82.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2000,100.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2001,101.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2002,105.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2003,102.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2004,101.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2005,99.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2006,99.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2007,99.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2008,95.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2009,93.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2010,91.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2011,88.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2012,91.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2013,88.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2014,86.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2015,90.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2016,84.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2017,84.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2018,87.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2019,85.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BE,2020,83.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2000,100.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2001,103.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2002,101.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2003,108.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2004,108.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2005,104.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2006,103.2,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2007,113.1,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2008,113.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2009,114.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,BG,2010,117.5,
