"TIME","NAME","PLANT_TEC","UNIT","PV_FLAECHE","Flag and Footnotes"
"2011","European Union - 27 countries (from 2020)","Solar collectors surface","Thousand square metres","37,676.984",""
"2011","Euro area - 19 countries  (from 2015)","Solar collectors surface","Thousand square metres","34,795.984",""
"2011","Belgium","Solar collectors surface","Thousand square metres","409.700",""
"2011","Bulgaria","Solar collectors surface","Thousand square metres","230.000",""
"2011","Czechia","Solar collectors surface","Thousand square metres","359.000",""
"2011","Denmark","Solar collectors surface","Thousand square metres","556.000",""
"2011","Germany","Solar collectors surface","Thousand square metres","15,100.000",""
"2011","Estonia","Solar collectors surface","Thousand square metres","0.000",""
"2011","Ireland","Solar collectors surface","Thousand square metres","223.391",""
"2011","Greece","Solar collectors surface","Thousand square metres","4,090.000",""
"2011","Spain","Solar collectors surface","Thousand square metres","2,371.729",""
"2011","France","Solar collectors surface","Thousand square metres","2,204.051",""
"2011","Croatia","Solar collectors surface","Thousand square metres","106.000",""
"2011","Italy","Solar collectors surface","Thousand square metres","2,744.000",""
"2011","Cyprus","Solar collectors surface","Thousand square metres","937.000",""
"2011","Latvia","Solar collectors surface","Thousand square metres","0.000",""
"2011","Lithuania","Solar collectors surface","Thousand square metres","0.000",""
"2011","Luxembourg","Solar collectors surface","Thousand square metres","35.076",""
"2011","Hungary","Solar collectors surface","Thousand square metres","170.000",""
"2011","Malta","Solar collectors surface","Thousand square metres","54.800",""
"2011","Netherlands","Solar collectors surface","Thousand square metres","601.000",""
"2011","Austria","Solar collectors surface","Thousand square metres","4,776.298",""
"2011","Poland","Solar collectors surface","Thousand square metres","909.000",""
"2011","Portugal","Solar collectors surface","Thousand square metres","876.000",""
"2011","Romania","Solar collectors surface","Thousand square metres","105.000",""
"2011","Slovenia","Solar collectors surface","Thousand square metres","192.939",""
"2011","Slovakia","Solar collectors surface","Thousand square metres","146.000",""
"2011","Finland","Solar collectors surface","Thousand square metres","34.000",""
