DATAFLOW,LAST UPDATE,freq,unit,NUTS2,TIME_PERIOD,POP_DICHTE,OBS_FLAG
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL01,2012,79.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL01,2013,78.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL01,2014,77.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL01,2015,77.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL01,2016,76.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL01,2017,76.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL01,2018,75.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL01,2019,74.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL02,2012,219.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL02,2013,222.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL02,2014,225.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL02,2015,227.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL02,2016,229.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL02,2017,232.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL02,2018,234.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL02,2019,236.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL03,2012,73.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL03,2013,72.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL03,2014,71.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL03,2015,70.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL03,2016,69.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL03,2017,68.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL03,2018,67.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AL03,2019,67.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT11,2008,76.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT11,2009,77.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT11,2010,77.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT11,2011,77.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT11,2012,78.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT11,2013,78.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT11,2014,78.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT11,2015,79.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT11,2016,79.4,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT11,2017,79.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT11,2018,77.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT11,2019,77.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT12,2008,84.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT12,2009,84.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT12,2010,85.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT12,2011,85.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT12,2012,85.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT12,2013,85.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT12,2014,86.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT12,2015,87.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT12,2016,87.7,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT12,2017,88.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT12,2018,88.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT12,2019,88.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT13,2008,4230.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT13,2009,4253.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT13,2010,4289.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT13,2011,4323.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT13,2012,4377.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT13,2013,4440.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT13,2014,4511.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT13,2015,4604.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT13,2016,4693.4,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT13,2017,4754.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT13,2018,4780.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT13,2019,4808.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT21,2008,59.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT21,2009,59.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT21,2010,59.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT21,2011,59.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT21,2012,59.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT21,2013,59.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT21,2014,59.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT21,2015,59.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT21,2016,59.9,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT21,2017,59.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT21,2018,59.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT21,2019,59.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2008,74.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2009,74.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2010,74.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2011,74.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2012,74.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2013,74.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2014,75.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2015,75.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2016,76.0,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2017,76.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2018,76.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT22,2019,76.6,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2008,120.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2009,120.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2010,120.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2011,120.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,AT31,2012,120.9,
