"TIME","NAME","SIEC","NRG_BAL","UNIT","SOLAR_PROD","Flag and Footnotes"
"2011","European Union - 27 countries (from 2020)","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","45,329.528",""
"2011","Euro area - 19 countries  (from 2015)","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","43,017.525",""
"2011","Belgium","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","1,169.000",""
"2011","Bulgaria","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","100.862",""
"2011","Czechia","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","2,182.018",""
"2011","Denmark","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","14.940",""
"2011","Germany","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","19,599.000",""
"2011","Estonia","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","0.000",""
"2011","Ireland","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","0.542",""
"2011","Greece","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","610.311",""
"2011","Spain","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","7,440.000",""
"2011","France","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","2,333.804",""
"2011","Croatia","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","0.137",""
"2011","Italy","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","10,795.723",""
"2011","Cyprus","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","11.937",""
"2011","Latvia","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","0.000",""
"2011","Lithuania","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","0.000",""
"2011","Luxembourg","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","25.744",""
"2011","Hungary","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","1.444",""
"2011","Malta","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","4.990",""
"2011","Netherlands","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","104.471",""
"2011","Austria","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","174.070",""
"2011","Poland","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","0.175",""
"2011","Portugal","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","279.929",""
"2011","Romania","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","1.427",""
"2011","Slovenia","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","65.704",""
"2011","Slovakia","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","397.000",""
"2011","Finland","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","5.300",""
"2011","Sweden","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","11.000",""
"2011","Iceland","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","0.000",""
"2011","Norway","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","0.000",""
"2011","United Kingdom","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","243.623",""
"2011","Montenegro","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","0.000",""
"2011","North Macedonia","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","1.173",""
"2011","Albania","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","0.000",""
"2011","Serbia","Solar photovoltaic","Gross electricity production - Renewable Energy Directive","Gigawatt-hour","0.000",""
