STADT;LAND1;LAND;LAT;LNG;SUN1;CODE;NUTS3;;;;;;
Lemberg;UKRAINE;UA;49.837.982;24.038.086;1127;;;;;;;;
Luzk;UKRAINE;UA;50.764.259;25.334.473;1129;;;;;;;;
Tschernowitz;UKRAINE;UA;48.297.812;25.949.707;1182;;;;;;;;
Winnyzja;UKRAINE;UA;49.224.773;28.498.535;1179;;;;;;;;
Schytomyr;UKRAINE;UA;50.275.299;28.696.289;1156;;;;;;;;
Kiew;UKRAINE;UA;50.457.504;30.563.965;1155;;;;;;;;
Poltawa;UKRAINE;UA;49.567.978;34.606.934;1209;;;;;;;;
Sumy;UKRAINE;UA;50.903.033;34.804.688;1160;;;;;;;;
Krementschuk;UKRAINE;UA;49.066.668;33.442.383;1234;;;;;;;;
Dnipro;UKRAINE;UA;48.458.352;35.046.387;1240;;;;;;;;
Charkiw;UKRAINE;UA;50.007.739;3.623.291;1190;;;;;;;;
Sjewjerodonezk;UKRAINE;UA;48.922.499;38.452.148;1208;;;;;;;;
Makijiwka;UKRAINE;UA;48.034.019;37.836.914;1250;;;;;;;;
Mariupol;UKRAINE;UA;47.100.045;37.595.215;1305;;;;;;;;
Melitopol;UKRAINE;UA;46.815.099;35.375.977;1295;;;;;;;;
Sewastopol;RUSSLAND;RU;44.590.467;33.530.273;1399;;;;;;;;
Cherson;UKRAINE;UA;46.604.167;32.607.422;1310;;;;;;;;
Odessa;UKRAINE;UA;46.483.265;30.717.773;1313;67170;;;;;;;
Ljubaschiwka;UKRAINE;UA;47.835.283;3.027.832;1251;;;;;;;;
Stadtkreis Tiraspol;MOLDAWIEN;MD;4.683.765;29.608.154;1287;;;;;;;;
Hîncești;MOLDAWIEN;MD;46.815.099;28.586.426;1256;;;;;;;;
Bălți;MOLDAWIEN;MD;47.754.098;27.927.246;1243;;;;;;;;
Edineț;MOLDAWIEN;MD;48.158.757;27.290.039;1225;;;;;;;;
Tatarbunary;UKRAINE;UA;45.836.454;29.613.647;1319;;;;;;;;
Dneprowka;UKRAINE;UA;45.729.191;34.387.207;1315;;;;;;;;
Leningrader Rajon;RUSSLAND;RU;54.711.929;20.511.475;1079;;;;;;;;
Tschernjachowsk;RUSSLAND;RU;54.648.413;21.829.834;1060;;;;;;;;
Istanbul;TÜRKEI;TR;41.013.066;28.970.947;1377;;;;;;;;
Ankara;TÜRKEI;TR;39.919.743;32.853.928;1532;;;;;;;;
Terakki Mahallesi;TÜRKEI;TR;41.446.844;31.783.447;1327;;;;;;;;
Izmir;TÜRKEI;TR;3.841.809;27.133.484;1586;;;;;;;;
Antalya;TÜRKEI;TR;36.899.391;30.687.561;1670;;;;;;;;
Konya;TÜRKEI;TR;37.926.868;32.519.531;1642;;;;;;;;
Adana;TÜRKEI;TR;36.985.003;35.332.031;1621;;;;;;;;
Samsun;TÜRKEI;TR;41.286.062;36.320.801;1300;;;;;;;;
Erzincan;TÜRKEI;TR;39.791.655;39.462.891;1637;;;;;;;;
Batman Merkez;TÜRKEI;TR;37.961.523;4.111.084;1635;;;;;;;;
Zagreb;KROATIEN;HR;45.836.454;15.979.614;1233;;;;;;;;
Stadt Pola;KROATIEN;HR;44.879.228;13.842.773;1430;;;;;;;;
Zadar;KROATIEN;HR;44.142.798;15.238.037;1483;;;;;;;;
Esseg;KROATIEN;HR;4.556.791;1.869.873;1290;;;;;;;;
Split;KROATIEN;HR;43.508.721;16.446.533;1479;;;;;;;;
Dubrovnik;KROATIEN;HR;42.633.959;18.083.496;1480;;;;;;;;
Podovi;BOSNIEN UND HERZEGOWINA;BA;44.394.542;16.402.588;1311;;;;;;;;
Općina Centar;BOSNIEN UND HERZEGOWINA;BA;43.850.374;18.413.086;1259;;;;;;;;
Mostar;BOSNIEN UND HERZEGOWINA;BA;4.334.116;17.819.824;1404;;;;;;;;
Гацко;BOSNIEN UND HERZEGOWINA;BA;43.165.123;18.533.936;1446;;;;;;;;
Tuzla;BOSNIEN UND HERZEGOWINA;BA;44.543.505;18.687.744;1246;;;;;;;;
Banja Luka;BOSNIEN UND HERZEGOWINA;BA;44.777.936;17.215.576;1253;;;;;;;;
Добој;BOSNIEN UND HERZEGOWINA;BA;44.754.535;18.094.482;1246;;;;;;;;
Нови Сад;SERBIEN;RS;45.274.886;19.885.254;1291;;;;;;;;
Belgrad;SERBIEN;RS;44.793.531;20.500.488;1299;;;;;;;;
Општина Мајданпек;SERBIEN;RS;44.425.934;21.950.684;1252;;;;;;;;
Пирот;SERBIEN;RS;43.149.094;22.598.877;1308;;;;;;;;
Градска општина Палилула;SERBIEN;RS;43.317.185;21.884.766;1321;;;;;;;;
Нови Пазар;SERBIEN;RS;43.141.078;20.511.475;1322;;;;;;;;
Užice;SERBIEN;RS;43.858.297;19.852.295;1262;;;;;;;;
Podgorica;MONTENEGRO;ME;42.447.781;1.927.002;1468;;;;;;;;
Mitrovicë;KOSOVO;XK;42.892.064;20.874.023;1347;;;;;;;;
Prizren;KOSOVO;XK;42.220.382;20.742.188;1350;;;;;;;;
Skopje;NORDMAZEDONIEN;MK;4.199.216;21.456.299;1381;;;;;;;;
Добрејци;NORDMAZEDONIEN;MK;41.459.195;22.653.809;1449;;;;;;;;
Tiranë;ALBANIEN;AL;41.327.326;19.830.322;1489;;;;;;;;
Vlorë;ALBANIEN;AL;40.472.024;19.500.732;1540;;;;;;;;
Korçë;ALBANIEN;AL;40.618.122;20.786.133;1488;;;;;;;;
Korfu;GRIECHENLAND;GR;39.618.384;19.918.213;1528;;;;;;;;
